energy_min_keV,energy_max_keV,bin_width_keV,recommended_width,point_count,p25_mean_counts_per_bin,median_mean_counts_per_bin,p75_mean_counts_per_bin,median_nonzero_bin_fraction,median_fraction_bins_ge_10_counts,median_fraction_bins_ge_25_counts,poisson_relative_error_at_median_mean
50.0,1000.0,1,False,104,11.144473684210526,23.00052631578947,45.427894736842106,1.0,0.8821052631578947,0.33210526315789474,0.20851202834957475
50.0,1000.0,2,True,104,22.288947368421052,46.00105263157894,90.85578947368421,1.0,1.0,0.8905263157894736,0.14744026920494596
50.0,1000.0,5,False,104,55.72236842105263,115.00263157894736,227.13947368421054,1.0,1.0,1.0,0.09324941390320249
50.0,1000.0,10,False,104,111.44473684210526,230.00526315789472,454.2789473684211,1.0,1.0,1.0,0.0659372929126256
50.0,1000.0,20,False,104,220.56770833333334,455.21875,899.09375,1.0,1.0,1.0,0.04686945775111959
50.0,1000.0,25,False,104,278.6118421052632,575.0131578947369,1135.6973684210527,1.0,1.0,1.0,0.04170240566991495
50.0,1000.0,50,False,104,557.2236842105264,1150.0263157894738,2271.3947368421054,1.0,1.0,1.0,0.029488053840989188
50.0,1000.0,100,False,104,1058.725,2185.05,4315.65,1.0,1.0,1.0,0.02139288272360296
50.0,1000.0,200,False,104,2117.45,4370.1,8631.3,1.0,1.0,1.0,0.015127052442988191
1000.0,3000.0,1,False,104,2.33875,5.58025,11.375625,0.96425,0.15325,0.00375,0.423324273702869
1000.0,3000.0,2,False,104,4.6775,11.1605,22.75125,0.998,0.5085,0.0395,0.2993354645761688
1000.0,3000.0,5,False,104,11.693750000000001,27.901249999999997,56.878125000000004,1.0,0.95,0.49,0.18931637050506836
1000.0,3000.0,10,True,104,23.387500000000003,55.802499999999995,113.75625000000001,1.0,1.0,0.9,0.13386688937375874
1000.0,3000.0,20,False,104,46.775000000000006,111.60499999999999,227.51250000000002,1.0,1.0,1.0,0.09465818525253418
1000.0,3000.0,25,False,104,58.46875,139.50625000000002,284.390625,1.0,1.0,1.0,0.0846648547405738
1000.0,3000.0,50,False,104,116.9375,279.01250000000005,568.78125,1.0,1.0,1.0,0.05986709291523374
1000.0,3000.0,100,False,104,233.875,558.0250000000001,1137.5625,1.0,1.0,1.0,0.0423324273702869
1000.0,3000.0,200,False,104,467.75,1116.0500000000002,2275.125,1.0,1.0,1.0,0.02993354645761687
3000.0,7000.0,1,False,104,0.4101875,0.966125,3.2543124999999997,0.5643750000000001,0.0,0.0,1.0173803372776868
3000.0,7000.0,2,False,104,0.820375,1.93225,6.508624999999999,0.8067500000000001,0.0025,0.0,0.7193965355349092
3000.0,7000.0,5,False,104,2.0509375,4.8306249999999995,16.271562499999998,0.973125,0.15,0.0,0.45498631862491423
3000.0,7000.0,10,False,104,4.101875,9.661249999999999,32.543124999999996,1.0,0.43374999999999997,0.026250000000000002,0.32172391124678007
3000.0,7000.0,20,False,104,8.20375,19.322499999999998,65.08624999999999,1.0,0.8975,0.29,0.22749315931245712
3000.0,7000.0,25,False,104,10.2546875,24.153125,81.35781250000001,1.0,0.95625,0.40937500000000004,0.20347606745553737
3000.0,7000.0,50,True,104,20.509375,48.30625,162.71562500000002,1.0,1.0,0.925,0.14387930710698185
3000.0,7000.0,100,False,104,41.01875,96.6125,325.43125000000003,1.0,1.0,1.0,0.10173803372776868
3000.0,7000.0,200,False,104,82.0375,193.225,650.8625000000001,1.0,1.0,1.0,0.07193965355349093
7000.0,11400.0,1,False,104,0.037556818181818184,0.08102272727272727,0.3226136363636364,0.0675,0.0,0.0,3.513149013176043
7000.0,11400.0,2,False,104,0.07511363636363637,0.16204545454545455,0.6452272727272728,0.12045454545454545,0.0,0.0,2.4841714905356076
7000.0,11400.0,5,False,104,0.18778409090909093,0.40511363636363634,1.6130681818181818,0.2272727272727273,0.0022727272727272726,0.0,1.5711280017095872
7000.0,11400.0,10,False,104,0.37556818181818186,0.8102272727272727,3.2261363636363636,0.32613636363636367,0.006818181818181818,0.0,1.1109552641209188
7000.0,11400.0,20,False,104,0.7511363636363637,1.6204545454545454,6.452272727272727,0.4409090909090909,0.02954545454545454,0.004545454545454545,0.7855640008547936
7000.0,11400.0,25,False,104,0.9389204545454546,2.0255681818181817,8.065340909090908,0.48011363636363635,0.056818181818181816,0.005681818181818182,0.7026298026352086
7000.0,11400.0,50,False,104,1.8778409090909092,4.051136363636363,16.130681818181817,0.5852272727272727,0.125,0.022727272727272728,0.49683429810712154
7000.0,11400.0,100,False,104,3.7556818181818183,8.102272727272727,32.26136363636363,0.6818181818181818,0.22727272727272727,0.13636363636363635,0.3513149013176043
7000.0,11400.0,200,True,104,7.511363636363637,16.204545454545453,64.52272727272727,0.7727272727272727,0.4090909090909091,0.18181818181818182,0.24841714905356077
